,Category,F1-Score
0,ARTS,0.0
1,ARTS & CULTURE,0.0
2,BLACK VOICES,0.0
3,BUSINESS,0.0
4,COLLEGE,0.0
5,COMEDY,0.0
6,CRIME,0.0
7,CULTURE & ARTS,0.0
8,DIVORCE,0.0
9,EDUCATION,0.0
10,ENTERTAINMENT,0.004197672199961839
11,ENVIRONMENT,0.0
12,FIFTY,0.0
13,FOOD & DRINK,0.0
14,GOOD NEWS,0.0
15,GREEN,0.0
16,HEALTHY LIVING,0.0
17,HOME & LIVING,0.0
18,IMPACT,0.0
19,LATINO VOICES,0.0
20,MEDIA,0.0
21,MONEY,0.0
22,PARENTING,0.0
23,PARENTS,0.0
24,POLITICS,0.29651647313739654
25,QUEER VOICES,0.0
26,RELIGION,0.0
27,SCIENCE,0.0
28,SPORTS,0.0
29,STYLE,0.0
30,STYLE & BEAUTY,0.0
31,TASTE,0.0
32,TECH,0.0
33,THE WORLDPOST,0.0
34,TRAVEL,0.12988172282972552
35,U.S. NEWS,0.0
36,WEDDINGS,0.0
37,WEIRD NEWS,0.0
38,WELLNESS,0.0
39,WOMEN,0.0
40,WORLD NEWS,0.0
41,WORLDPOST,0.0
